cluster,gene,auc,power
C1,CDC20,0.944,0.888
C1,UBE2C,0.943,0.886
C1,TOP2A,0.941,0.882
C1,CCNB1,0.94,0.88
C1,CCNB2,0.933,0.866
C1,KIF20A,0.932,0.865
C1,PLK1,0.931,0.862
C1,CCNA2,0.93,0.86
C1,CDCA8,0.925,0.851
C1,CENPF,0.923,0.847
C10,NEUROD6,0.986,0.971
C10,BCL11B,0.949,0.899
C10,GAP43,0.941,0.882
C10,NFIB,0.938,0.877
C10,TMSB10,0.935,0.869
C10,MYT1L,0.934,0.867
C10,BCL11A,0.932,0.864
C10,RTN1,0.931,0.861
C10,DCX,0.93,0.86
C10,MAP1B,0.924,0.848
C11,ATP5G2,0.047,0.907
C11,TMBIM6,0.059,0.883
C11,ARF1,0.061,0.879
C11,ATP5B,0.066,0.868
C11,EIF5A,0.076,0.849
C11,GNG5,0.085,0.831
C11,ACTG1,0.085,0.829
C11,TUBB,0.086,0.827
C11,SNRPB,0.087,0.826
C11,UQCR11,0.089,0.822
C2,NFIA,0.184,0.631
C2,NFIB,0.186,0.628
C2,CCND1,0.779,0.559
C2,BCAT1,0.775,0.55
C2,CXXC4,0.772,0.544
C2,SNRPB,0.77,0.54
C2,NNAT,0.746,0.492
C2,PRTG,0.746,0.492
C2,MCM2,0.741,0.482
C2,DDIT4,0.737,0.474
C3,CLSPN,0.831,0.661
C3,RRM2,0.806,0.613
C3,BARD1,0.805,0.611
C3,PRTG,0.8,0.6
C3,MCM3,0.792,0.585
C3,CENPN,0.785,0.57
C3,DTL,0.784,0.568
C3,FANCD2,0.775,0.55
C3,PPIA,0.775,0.549
C3,UHRF1,0.775,0.549
C4,MLLT11,0.893,0.785
C4,DCX,0.885,0.77
C4,HES1,0.131,0.738
C4,SFRP1,0.14,0.721
C4,IFITM3,0.148,0.703
C4,ANP32E,0.15,0.7
C4,GLI3,0.151,0.698
C4,SPARC,0.164,0.673
C4,NUSAP1,0.165,0.669
C4,STMN2,0.834,0.668
C5,TPBG,0.914,0.829
C5,WLS,0.913,0.825
C5,ZIC2,0.867,0.734
C5,MAF,0.865,0.729
C5,RSPO2,0.864,0.727
C5,DMD,0.855,0.71
C5,RSPO3,0.848,0.697
C5,SLIT2,0.844,0.688
C5,SPARC,0.815,0.63
C5,C6orf118,0.803,0.605
C6,ALDOA,0.931,0.863
C6,FTL,0.924,0.848
C6,EIF1,0.873,0.745
C6,ERO1L,0.861,0.721
C6,TUBB,0.147,0.706
C6,BNIP3,0.85,0.7
C6,TRMT112,0.839,0.678
C6,TUBA1A,0.168,0.663
C6,MAP1B,0.178,0.643
C6,STMN1,0.18,0.639
C7,COL3A1,0.998,0.996
C7,DCN,0.991,0.983
C7,LUM,0.989,0.979
C7,S100A11,0.985,0.971
C7,COL1A2,0.985,0.969
C7,COL1A1,0.976,0.952
C7,COL5A1,0.971,0.941
C7,COL5A2,0.966,0.932
C7,MFAP4,0.966,0.931
C7,BNC2,0.955,0.91
C8,NUSAP1,0.911,0.821
C8,MKI67,0.906,0.811
C8,BIRC5,0.896,0.791
C8,HMGB2,0.885,0.77
C8,PBK,0.875,0.751
C8,AURKB,0.863,0.726
C8,TFAP2C,0.86,0.721
C8,ANLN,0.858,0.716
C8,TPX2,0.856,0.713
C8,SYNE2,0.853,0.707
C9,C1orf61,0.896,0.793
C9,SYNE2,0.868,0.736
C9,CREB5,0.865,0.729
C9,FABP7,0.862,0.725
C9,GLI3,0.852,0.705
C9,IFI44L,0.833,0.667
C9,NFIB,0.805,0.61
C9,TFAP2C,0.796,0.593
C9,SFRP1,0.794,0.588
C9,SLC1A3,0.793,0.585
